design,n,method,cls,truth,bias,rmse,coverage,width,reps
srs,300,xppi_aef,6,0.1948343292767664,0.013296439224613113,0.013871952324139637,1.0,0.0707271225758398,2
srs,300,xppi_aef,7,0.016596851362887376,-0.0034015939594111656,0.003595794631246048,1.0,0.026125826153670175,2
srs,300,xppi_aef,8,0.3328800301760934,0.0009526515024424476,0.00524689024984452,1.0,0.02608266464728609,2
srs,300,xppi_aef,10,0.0074149808421512375,-0.0007997585552138387,0.0028374038899251415,1.0,0.017464663030341398,2
srs,300,xppi_aef,12,0.016596851362887376,-0.004420351836768722,0.004425764541569321,1.0,0.01913564737431074,2
srs,300,xppi_aef,13,0.007931150860614243,0.0005573845543585974,0.002830366299807712,1.0,0.019665974970110852,2
srs,300,xppi_pcal,2,0.1908141589406603,-0.004776759650239271,0.005306515845993405,1.0,0.05502744562498291,2
srs,300,xppi_pcal,3,0.020577316312957852,0.0015383175572163833,0.005147712676433879,1.0,0.02029863593989243,2
srs,300,xppi_pcal,4,0.20052212582636836,0.009769034549346967,0.010374766152081525,1.0,0.04403662013683893,2
srs,300,xppi_pcal,5,0.011832205038613488,-0.005148151633224169,0.005790093694343262,0.5,0.021363511971834837,2
srs,300,xppi_pcal,6,0.1948343292767664,0.00581441853269106,0.006288146207968716,1.0,0.06618578397482966,2
srs,300,xppi_pcal,7,0.016596851362887376,-0.0026547446298576484,0.0029645568713423196,1.0,0.021617579344018964,2
srs,300,xppi_pcal,8,0.3328800301760934,0.0009129609999870281,0.001755190088106625,1.0,0.01968919045992551,2
srs,300,xppi_pcal,10,0.0074149808421512375,-0.002672099557376267,0.0027006578846679955,1.0,0.01828767325001002,2
srs,300,xppi_pcal,12,0.016596851362887376,-0.0027708988896447346,0.003895667233804806,1.0,0.018093914638967826,2
srs,300,xppi_pcal,13,0.007931150860614243,-1.207727889937938e-05,0.0027221324676361494,1.0,0.016958839853886375,2
strat,300,olofsson,2,0.1908141589406603,-0.005794828298736959,0.0070709498005030805,1.0,0.04978905773725696,5
strat,300,olofsson,3,0.020577316312957852,-0.0008083354840417451,0.002131518577975413,1.0,0.009831721251604673,5
strat,300,olofsson,4,0.20052212582636836,-0.0035344211201114805,0.009552194128712293,1.0,0.04359283703383597,5
strat,300,olofsson,5,0.011832205038613488,0.0002813788357057305,0.0006897075914994765,1.0,0.011985993808405818,5
strat,300,olofsson,6,0.1948343292767664,0.0046764028258927835,0.011283151040716376,1.0,0.057547513594881264,5
strat,300,olofsson,7,0.016596851362887376,-0.00123827863916407,0.0022090788722185914,1.0,0.019541705012235962,5
strat,300,olofsson,8,0.3328800301760934,0.0015537181543389678,0.004875994666841786,1.0,0.015779470690120645,5
strat,300,olofsson,10,0.0074149808421512375,0.001017454741139891,0.0013564665964737074,1.0,0.009628640252461846,5
strat,300,olofsson,12,0.016596851362887376,0.0011819764017655672,0.0026254384465010006,0.8,0.015329077088052076,5
strat,300,olofsson,13,0.007931150860614243,0.002664932583211295,0.004229518418568516,1.0,0.01489871661428217,5
strat,300,stratppi,2,0.1908141589406603,-0.006522056894041101,0.009056171018097959,1.0,0.046061626027278965,5
strat,300,stratppi,3,0.020577316312957852,-0.0013921883328421847,0.0023640382232521205,1.0,0.008432676549872056,5
strat,300,stratppi,4,0.20052212582636836,-0.0028485237801731344,0.009173343949170019,1.0,0.03900931334130795,5
strat,300,stratppi,5,0.011832205038613488,-0.00012009018896156701,0.0007061512839712349,1.0,0.010894127283752377,5
strat,300,stratppi,6,0.1948343292767664,0.001919741046729434,0.010335849516820745,1.0,0.05285775920838272,5
strat,300,stratppi,7,0.016596851362887376,-0.0011896768393969762,0.0028633422567964292,1.0,0.018226430497630265,5
strat,300,stratppi,8,0.3328800301760934,0.001557704075472377,0.004682399093632468,1.0,0.01222594266957966,5
strat,300,stratppi,10,0.0074149808421512375,0.0008829451161143128,0.0011772204138242857,1.0,0.008732441390361112,5
strat,300,stratppi,12,0.016596851362887376,0.0011247454364673505,0.0025998843416582627,0.8,0.014393328369356629,5
strat,300,stratppi,13,0.007931150860614243,0.002664932583211295,0.004229518418568516,1.0,0.01489871661428217,5
