design,n,method,cls,truth,bias,rmse,coverage,width,reps
srs,1000,ppi_hard,4,0.20052212582636836,-0.00015127948280203618,0.00796146177313344,0.942,0.031837227845884566,500
srs,1000,ppi_hard,5,0.011832205038613488,-0.0001979917683762847,0.004906854343107886,0.95,0.01963623855397207,500
srs,1000,ppi_hard,6,0.1948343292767664,0.0003102802558276335,0.009425656168884355,0.952,0.03803319180529217,500
srs,1000,ppi_hard,7,0.016596851362887376,0.00032559687356265027,0.00670716406652411,0.954,0.027452536106354494,500
srs,1000,ppi_hard,8,0.3328800301760934,-0.00011018726137358481,0.0031130009315816602,0.964,0.013672440973149182,500
srs,1000,ppi_hard,10,0.0074149808421512375,0.00010328508393806852,0.0031195073116757023,0.916,0.011506215925230233,500
srs,1000,ppi_hard,12,0.016596851362887376,0.00013273324540200628,0.002257868879346341,0.96,0.009402458872730465,500
srs,1000,ppi_hard,13,0.007931150860614243,-8.915086061424267e-05,0.00279445591769637,0.892,0.010749214570832142,500
srs,1000,ppi_soft,2,0.1908141589406603,2.3810607642522742e-05,0.0063641652345650555,0.95,0.02506357426383152,500
srs,1000,ppi_soft,3,0.020577316312957852,0.00022848755572927814,0.0024868751971599498,0.956,0.009687350258315148,500
srs,1000,ppi_soft,4,0.20052212582636836,-6.366923096287147e-05,0.0069221688102432755,0.946,0.02735947118600407,500
srs,1000,ppi_soft,5,0.011832205038613488,-5.990301275352501e-05,0.0034814715815355123,0.95,0.013529454938993346,500
srs,1000,ppi_soft,6,0.1948343292767664,-0.00020005069357928378,0.008439141504672619,0.942,0.03231413797872384,500
srs,1000,ppi_soft,7,0.016596851362887376,7.424261361166178e-05,0.0047759147148587,0.958,0.019060361044993795,500
srs,1000,ppi_soft,8,0.3328800301760934,-6.560906467676019e-05,0.002815778254796738,0.976,0.012408178353393823,500
srs,1000,ppi_soft,10,0.0074149808421512375,1.745179780779816e-05,0.0023269981190852033,0.928,0.008745333067793102,500
srs,1000,ppi_soft,12,0.016596851362887376,0.00013440698392260203,0.002171179539914424,0.956,0.009190707758264584,500
srs,1000,ppi_soft,13,0.007931150860614243,-8.915086061424267e-05,0.00279445591769637,0.892,0.010749214570832142,500
srs,1000,ppipp_soft,2,0.1908141589406603,-0.0001285235931668855,0.006441468078349744,0.95,0.025095064230316898,500
srs,1000,ppipp_soft,3,0.020577316312957852,-0.0002420728220929345,0.002664087412216404,0.936,0.00976767404212908,500
srs,1000,ppipp_soft,4,0.20052212582636836,-6.755653854872629e-05,0.006925991804842817,0.946,0.027360533182037572,500
srs,1000,ppipp_soft,5,0.011832205038613488,-0.00043797122075978485,0.003068322939858237,0.912,0.01138185402498675,500
srs,1000,ppipp_soft,6,0.1948343292767664,-0.00020917156628411587,0.008448885618081768,0.94,0.03231617811001483,500
srs,1000,ppipp_soft,7,0.016596851362887376,-0.00023243906890783867,0.00352363813855864,0.936,0.013757498721188862,500
srs,1000,ppipp_soft,8,0.3328800301760934,-0.0001852312595270873,0.0028567700074715397,0.978,0.012437642117665355,500
